article_id,title,link,creator,published_at,created_at
AKR20260522115200001,"與, '조국 멍 발언 논란' 김용남에 ""득표에 도움안돼…유의해야""",https://www.yna.co.kr/view/AKR20260522115200001,서혜림,2026-05-22T16:19:47+09:00,2026-05-22T18:51:27.271772+09:00
AKR20260522118800052,"민주 ""박완수 조카, 경남출연기관 채용 의혹""…박 측 ""적법절차""",https://www.yna.co.kr/view/AKR20260522118800052,이정훈,2026-05-22T16:18:12+09:00,2026-05-22T18:51:27.272136+09:00
AKR20260522069751504,'바다의 패트리엇' SM-6 함대공유도탄 2034년까지 전력화 완료(종합),https://www.yna.co.kr/view/AKR20260522069751504,김효정,2026-05-22T16:16:39+09:00,2026-05-22T18:51:27.272195+09:00
AKR20260522117900064,"""법카 사적사용"" vs ""음주운전 벌금""…괴산군수 후보들 난타전",https://www.yna.co.kr/view/AKR20260522117900064,박재천,2026-05-22T16:05:47+09:00,2026-05-22T18:51:27.272282+09:00
AKR20260522117800004,"'탱크데이' 논란…법무부, 대검에 ""스타벅스 구매 보고하라""",https://www.yna.co.kr/view/AKR20260522117800004,이밝음,2026-05-22T16:01:28+09:00,2026-05-22T18:51:27.272346+09:00
AKR20260522040351001,"국힘, MBC '김태흠 모두발언 누락'에 ""의도적…중대 선거 범죄""(종합)",https://www.yna.co.kr/view/AKR20260522040351001,이정현,2026-05-22T16:00:06+09:00,2026-05-22T18:51:27.272384+09:00
AKR20260522087000504,"軍, 직충돌 요격드론 신속개발…중형 자폭드론 위협 대응",https://www.yna.co.kr/view/AKR20260522087000504,김효정,2026-05-22T16:00:04+09:00,2026-05-22T18:51:27.272420+09:00
AKR20260522116200704,[쇼츠] ICBM·SLBM·폭격기…푸틴 '핵전력 3축' 과시,https://www.yna.co.kr/view/AKR20260522116200704,김건태,2026-05-22T15:57:10+09:00,2026-05-22T18:51:27.272455+09:00
AKR20260522107200052,"경남교육감 후보들, TV토론 격돌…공약·자질 두고 설전",https://www.yna.co.kr/view/AKR20260522107200052,정종호,2026-05-22T15:56:57+09:00,2026-05-22T18:51:27.272489+09:00
AKR20260522113100065,"'공천헌금 의혹' 국힘 박종진, 개혁신당 정승연 무고 맞고소",https://www.yna.co.kr/view/AKR20260522113100065,최은지,2026-05-22T15:44:47+09:00,2026-05-22T18:51:27.272525+09:00
AKR20260522108100063,"""학력 격차 줄이자""…충남교육감 후보들 기초학력 공약 제시",https://www.yna.co.kr/view/AKR20260522108100063,김준범,2026-05-22T15:38:03+09:00,2026-05-22T18:51:27.272559+09:00
AKR20260522081551001,"李대통령 ""AI에 의한 일자리 대체 화두…ILO 역할 기대""(종합)",https://www.yna.co.kr/view/AKR20260522081551001,황윤기,2026-05-22T15:37:15+09:00,2026-05-22T18:51:27.272600+09:00
AKR20260522108200530,"조전혁 ""직무평가 꼴찌 교육감"" vs 정근식 ""동의하기 어려워""",https://www.yna.co.kr/view/AKR20260522108200530,오보람,2026-05-22T15:36:18+09:00,2026-05-22T18:51:27.272634+09:00
AKR20260522102300063,"""성비위 시의원직 상실 지역구 또 공천"" vs ""철 지난 네거티브""",https://www.yna.co.kr/view/AKR20260522102300063,양영석,2026-05-22T15:26:42+09:00,2026-05-22T18:51:27.272668+09:00
AKR20260522107000052,"박완수 ""사천시, 프랑스 툴루즈같은 고소득 우주항공도시로""",https://www.yna.co.kr/view/AKR20260522107000052,이정훈,2026-05-22T15:20:39+09:00,2026-05-22T18:51:27.272701+09:00
AKR20260522103600064,"영동군수 여야 후보, 국악예술고·대기업 유치 놓고 설전",https://www.yna.co.kr/view/AKR20260522103600064,박병기,2026-05-22T15:20:04+09:00,2026-05-22T18:51:27.272734+09:00
AKR20260522105400055,"천호성 전북교육감 후보 ""특별감찰위 도입""…반부패 공약 발표",https://www.yna.co.kr/view/AKR20260522105400055,백도인,2026-05-22T15:19:28+09:00,2026-05-22T18:51:27.272766+09:00
AKR20260522101300055,"김관영 전북지사 후보 ""李대통령의 최대 리스크는 정청래""",https://www.yna.co.kr/view/AKR20260522101300055,임채두,2026-05-22T15:14:36+09:00,2026-05-22T18:51:27.272799+09:00
AKR20260522100600061,"'한명이라도 더 만나야'…경기지사 후보들, 도 전역서 표심공략",https://www.yna.co.kr/view/AKR20260522100600061,최해민,2026-05-22T15:08:19+09:00,2026-05-22T18:51:27.272832+09:00
AKR20260522103700051,"""제대로 알고 말하라""·""흑색선전""…전재수·박형준 날선 공방",https://www.yna.co.kr/view/AKR20260522103700051,이영재,2026-05-22T15:05:44+09:00,2026-05-22T18:51:27.272865+09:00
AKR20260522093500052,노무현 전 대통령 17주기 앞둔 봉하마을…'노란색 추모 물결',https://www.yna.co.kr/view/AKR20260522093500052,이준영,2026-05-22T15:01:19+09:00,2026-05-22T18:51:27.272897+09:00
AKR20260522069700504,'바다의 패트리엇' SM-6 장거리함대공유도탄 2034년까지 도입,https://www.yna.co.kr/view/AKR20260522069700504,김효정,2026-05-22T14:59:05+09:00,2026-05-22T18:51:27.272930+09:00
AKR20260522098600063,"박수현 ""김태흠 행정통합·재정 발언 허위…공세 중단해야""",https://www.yna.co.kr/view/AKR20260522098600063,김준범,2026-05-22T14:58:39+09:00,2026-05-22T18:51:27.272966+09:00
AKR20260522097800051,"박민식 ""91세 노모 관련 허위사실 유포, 법적 조치""",https://www.yna.co.kr/view/AKR20260522097800051,오수희,2026-05-22T14:55:01+09:00,2026-05-22T18:51:27.272998+09:00
AKR20260522099300001,"대통령경호처, 신임 경호관 공채…내달 30일까지 접수",https://www.yna.co.kr/view/AKR20260522099300001,황윤기,2026-05-22T14:46:09+09:00,2026-05-22T18:51:27.273031+09:00
AKR20260522096800062,"강릉시체육회 종목단체장들 ""선거 개입 의혹은 허위"" 반박",https://www.yna.co.kr/view/AKR20260522096800062,류호준,2026-05-22T14:44:27+09:00,2026-05-22T18:51:27.273064+09:00
AKR20260522095200504,[게시판] 육·해·공군 '과학기술분야 전문특기병' 모집,https://www.yna.co.kr/view/AKR20260522095200504,김효정,2026-05-22T14:24:29+09:00,2026-05-22T18:51:27.273097+09:00
AKR20260522089500063,민주당 대전 서구청장 선거에 '범죄 이력 현수막' 게시 논란,https://www.yna.co.kr/view/AKR20260522089500063,박주영,2026-05-22T14:17:59+09:00,2026-05-22T18:51:27.273132+09:00
AKR20260522075100054,"[르포] ""후보가 누구에요?""…무관심 속 막오른 광주 광산을 보선",https://www.yna.co.kr/view/AKR20260522075100054,김혜인,2026-05-22T14:15:41+09:00,2026-05-22T18:51:27.273165+09:00
AKR20260522088100053,당내 경선서 거짓 응답 유도한 군수 후보 동생 고발,https://www.yna.co.kr/view/AKR20260522088100053,손대성,2026-05-22T14:01:37+09:00,2026-05-22T18:51:27.273198+09:00
AKR20260522089700052,"합천군수 토론, 모친상 류순철 불참 속 김윤철 단독 대담회로",https://www.yna.co.kr/view/AKR20260522089700052,박정헌,2026-05-22T14:01:35+09:00,2026-05-22T18:51:27.273231+09:00
AKR20260522045100030,"중기부, 생협법 개정에 첫 현장간담회…의료·돌봄 등 과제 점검",https://www.yna.co.kr/view/AKR20260522045100030,이상서,2026-05-22T14:00:03+09:00,2026-05-22T18:51:27.273263+09:00
AKR20260522060300001,"'비 오는 밤에도 차선 잘 보이도록'…정부, 성능 기준 강화",https://www.yna.co.kr/view/AKR20260522060300001,황윤기,2026-05-22T14:00:02+09:00,2026-05-22T18:51:27.273296+09:00
AKR20260522090200797,[영상] 핵잠 드디어 스타트!…진도 확 빼야 하는 이유,https://www.yna.co.kr/view/AKR20260522090200797,이정진,2026-05-22T13:59:10+09:00,2026-05-22T18:51:27.273335+09:00
AKR20260522088700504,"외교부 ""'이스라엘軍이 구타' 증언 엄중 인식…조치 취할것""",https://www.yna.co.kr/view/AKR20260522088700504,김지헌,2026-05-22T13:57:32+09:00,2026-05-22T18:51:27.273369+09:00
AKR20260522086600063,"국힘, 민주당 대덕구청장 경선 관련 대전시당 위원장 고발",https://www.yna.co.kr/view/AKR20260522086600063,박주영,2026-05-22T13:47:58+09:00,2026-05-22T18:51:27.273402+09:00
AKR20260522081500001,"李대통령 ""AI에 의한 일자리 대체 화두…ILO 역할 기대""",https://www.yna.co.kr/view/AKR20260522081500001,임형섭,2026-05-22T13:46:18+09:00,2026-05-22T18:51:27.273440+09:00
AKR20260522082900061,'선거전 속 애도'…의왕시장 후보 부친상에 유세 자제,https://www.yna.co.kr/view/AKR20260522082900061,최종호,2026-05-22T13:38:29+09:00,2026-05-22T18:51:27.273472+09:00
AKR20260522077500055,"박지원 ""대통령과 소통하는 이원택 선출돼야 전북 미래에 최선""",https://www.yna.co.kr/view/AKR20260522077500055,임채두,2026-05-22T12:28:59+09:00,2026-05-22T18:51:27.273514+09:00
AKR20260522072900001,"""지방선거서 與후보 당선"" 46%…""野 후보 당선"" 33%[한국갤럽]",https://www.yna.co.kr/view/AKR20260522072900001,박재하,2026-05-22T12:17:43+09:00,2026-05-22T18:51:27.273553+09:00
AKR20260522075500704,"[영상] '6개 핵탄두·마하20' 야르스 ICBM 발사…푸틴, 핵전력 과시",https://www.yna.co.kr/view/AKR20260522075500704,김건태,2026-05-22T12:13:05+09:00,2026-05-22T18:51:27.273587+09:00
